Autor_x,Autor_y,Trabalhos_Juntos
MARCOS ANDRÉ GONÇALVES,VITOR C. OLIVEIRA,2
THIAGO SALLES,WAGNER MEIRA JR.,2
MARIA LUIZA MACHADO CAMPOS,MIGUEL G. P. DE CARVALHO,2
ALEXANDRE PLASTINO,BRUNO C. PAES,2
MARIA LUIZA MACHADO CAMPOS,VANESSA BRAGANHOLO,2
MARIAMA C. S. DE OLIVEIRA,PABLO IVAN P. RAMOS,2
CAETANO TRAINA JÚNIOR,MARCELA XAVIER RIBEIRO,2
MARIANA O. SILVA,MIRELLA M. MORO,2
CAETANO TRAINA JÚNIOR,MARCO A. GUTIERREZ,2
CAETANO TRAINA JÚNIOR,MARCOS R. VIEIRA,2
MAXWELL GUIMARÃES DE OLIVEIRA,SALATIEL DANTAS SILVA,2
ALEXANDRE PLASTINO,MARIANA TASCA,2
MÔNICA R. P. FERREIRA,RICHARD CHBEIR,2
MÔNICA R. P. FERREIRA,WILLIAN DENER DE OLIVEIRA,2
ALEXANDRE PLASTINO,RAFAEL B. PEREIRA,2
NÁDIA FÉLIX F. DA SILVA,SANDRA DE AMO,2
NÁDIA P. KOZIEVITCH,RICARDO DA S. TORRES,2
OSMAR R. ZAIANE,STANLEY R. M. OLIVEIRA,2
PEDRO HOLANDA,SÉRGIO LIFSCHITZ,2
REGIS PIRES MAGALHÃES,TICIANA LINHARES COELHO DA SILVA,2
RENATO FILETO,VANIA BOGORNY,2
RICARDO MARCONDES MARCACINI,SOLANGE O. REZENDE,2
RICARDO RODRIGUES CIFERRI,RODRIGO COSTA MATEUS,2
ANA MARIA H. ÁVILA,CAETANO TRAINA JÚNIOR,2
ANA MARIA H. ÁVILA,ELAINE PARROS MACHADO DE SOUSA,2
ROBSON  DO NASCIMENTO FIDALGO,VALÉRIA CESÁRIO TIMES,2
RODRIGO COSTA MATEUS,THIAGO LUÍS LOPES SIQUEIRA,2
RODRIGO COSTA MATEUS,VALÉRIA CESÁRIO TIMES,2
RONALDO DOS SANTOS MELLO,TARLIS TORTELLI PORTELA,2
RONALDO DOS SANTOS MELLO,VANESSA LAGO MACHADO,2
ADRIANO ARANTES PATERLINI,CAETANO TRAINA JÚNIOR,2
CRISTIANE N. NOBRE,CRISTIANO L. N. PINTO,2
TARLIS TORTELLI PORTELA,VANESSA LAGO MACHADO,2
VAGNER JOSÉ DO SACRAMENTO RODRIGUES,WELLINGTON SANTOS MARTINS,2
ALEX A. FREITAS,BIANCA ZADROZNY,1
ALEX A. FREITAS,LUIZ HENRIQUE DE CAMPOS MERSCHMANN,1
ALEX A. FREITAS,RAFAEL B. PEREIRA,1
ALEXANDER OCSA,ELAINE PARROS MACHADO DE SOUSA,1
ALEXANDER YLNNER CHOQUENAIRA FLOREZ,ALEXIS IVÁN ASPAUZA LESCANO,1
ALEXANDER YLNNER CHOQUENAIRA FLOREZ,CAETANO TRAINA JÚNIOR,1
ALEXANDER YLNNER CHOQUENAIRA FLOREZ,ELAINE PARROS MACHADO DE SOUSA,1
ALEXANDER YLNNER CHOQUENAIRA FLOREZ,JOSÉ FERNANDO RODRIGUES JUNIOR,1
ALEXANDER YLNNER CHOQUENAIRA FLOREZ,JOÃO VICTOR DE OLIVEIRA NOVAES,1
ALEXANDER YLNNER CHOQUENAIRA FLOREZ,NATALIA DE FATIMA MARTINS,1
ALEXANDRE A. B. LIMA,DANIEL L. JASBICK,1
ALEXANDRE A. B. LIMA,LEONARDO MURTA,1
ALEXANDRE A. B. LIMA,VANESSA BRAGANHOLO,1
ALEXANDRE F. NOVELLO,BRUNO NOVELLI,1
ALEXANDRE F. NOVELLO,CLEBER DAMASCENO,1
ALEXANDRE F. NOVELLO,GRETTEL M. GARCIA,1
ALEXANDRE F. NOVELLO,LUIZ ANDRÉ P. PAES LEME,1
ALEXANDRE F. NOVELLO,MELISSA LEMOS,1
ALEXANDRE F. NOVELLO,YENIER TORRES IZQUIERDO,1
ALEXANDRE M. A. MACIEL,BYRON L. D. BEZERRA,1
ALEXANDRE M. A. MACIEL,CARMELO J. A. BASTOS-FILHO,1
ALEXANDRE M. A. MACIEL,JAILSON O. L. MAGALHAES,1
ALEXANDRE M. A. MACIEL,KLEBER D. M. SILVA,1
ALEXANDRE M. A. MACIEL,LUIZ F. V. VERCOSA,1
ALEXANDRE M. A. MACIEL,RODRIGO C. LIRA,1
ALEXANDRE M. A. MACIEL,RODRIGO P. MONTEIRO,1
ALEXANDRE PLASTINO,ALINE PAES,1
ALEXANDRE PLASTINO,CELSO RIBEIRO,1
ALEXANDRE PLASTINO,DANIELA VIANNA,1
ALEXANDRE PLASTINO,ELISEU GUIMARÃES,1
ALEXIS IVÁN ASPAUZA LESCANO,CAETANO TRAINA JÚNIOR,1
ALEXIS IVÁN ASPAUZA LESCANO,ELAINE PARROS MACHADO DE SOUSA,1
ALEXIS IVÁN ASPAUZA LESCANO,JOSÉ FERNANDO RODRIGUES JUNIOR,1
ALEXIS IVÁN ASPAUZA LESCANO,JOÃO VICTOR DE OLIVEIRA NOVAES,1
ALEXIS IVÁN ASPAUZA LESCANO,NATALIA DE FATIMA MARTINS,1
ALFREDO GUILHERME SOUZA,CYNTHIA DE OLIVEIRA LAGE FERREIRA,1
ALFREDO GUILHERME SOUZA,JORGE FRANCISCO CUTIGI,1
ALFREDO GUILHERME SOUZA,PAULO HENRIQUE RIBEIRO,1
ALFREDO GUILHERME SOUZA,RODRIGO HENRIQUE RAMOS,1
ALINE PAES,ANDRÉA MAGALHÃES,1
ALINE PAES,DANIEL DA SILVA JUNIOR,1
ALINE PAES,DANIELA VIANNA,1
ALINE PAES,DÉBORA PINA,1
ALINE PAES,ELISEU GUIMARÃES,1
ALINE PAES,FILIPE SILVA,1
ALINE PAES,LILIANE KUNSTMANN,1
ALINE PAES,MARIA LUIZA FALCI,1
ALINE PAES,MARTA MATTOSO,1
