Tema,Frequencia
PREFERENTIAL VOTING,1
PREFERENCE LEARNING,1
PREDICTIVE POLICING,1
QUALITY METRICS,1
QUALITY DIMENSIONS,1
QUALITY ASSESSMENT,1
QUALITY,1
PURPOSE,1
PUBLIC TRANSPORT SYSTEMS,1
PUBLIC FINANCES,1
PUBLIC EXPENSES,1
PUBLIC EXPENDITURE,1
PUBLIC DOMAIN WORKS,1
PUBLIC DATA,1
PUBLIC BIDDING,1
PROVENANCE VISUALIZATION,1
PROVENANCE DATA,1
PROVENANCE ANALYSIS,1
PROTEIN PREDICTION,1
RANKING ALGORITHM,1
RANKING AGGREGATION,1
RANGE QUERY,1
RANGE QUERIES,1
RAMP-UP PROBLEM,1
RAILCAR INSPECTION,1
R-TREE,1
QUERYING,1
QUERY SCHEDULING,1
QUERY REFORMULATION,1
QUERY INTERACTIONS,1
QUERY FORMULATION,1
QUERY EVALUATION,1
QUERY ANSWERING,1
QUERY,1
QUALITY OF WATER,1
BLOCKING,1
BLOCKCHAIN,1
BIPARTITE GRAPHS,1
BIOMOLECULAR INTERACTIONS,1
BIOMEDICAL DATA,1
BIOLOGY,1
RELATIONAL DATA MODEL,1
RELATIONAL ALGEBRA,1
RELATION EXTRACTION,1
REINFORCEMENT LEARNING,1
REFERENCE EVAPOTRANSPIRATION,1
RECORD LINKAGE,1
REAL TIME MONITORING,1
REAL TIME DATA WAREHOUSE,1
RDF GRAPH,1
RANKING STRATEGY,1
REPOSITORY,1
REPLICATION,1
REMAINING TIME PREDICTION,1
RELEVANCE METRICS,1
RELEVANCE MEASURES,1
RELEVANCE FEEDBACK,1
BUS TRAVEL TIME PREDICTION,1
BUS STOPS OPTIMIZATION,1
BULK-LOADING,1
BUFFER MANAGEMENT,1
BRAZILIAN TERRITORY,1
BRAZILIAN SIGN LANGUAGE,1
BRAZILIAN PORTUGUESE SRL,1
BRAZILIAN MUSIC DATASETS,1
BRAZILIAN DEPUTIES,1
BRAZILIAN CHAMBER OF DEPUTIES,1
SCIENTIFIC DATA INDEXING,1
SCIENTIFIC COLLABORATION,1
SCIENTI,1
